Polish,English
nie,no
to,this
się,myself
w,in
na,on
i,and
że,that
z,With
co,What
jest,is
do,down
tak,Yes
o,about
jak,how
ale,but
mnie,me
mi,to me
za,behind
ja,I
tym,this
tego,this
go,him
ci,these
po,after
tylko,just
czy,if
tu,here
może,maybe
jestem,I am
ma,has
ty,you
cię,you
mam,I have
jesteś,you are
już,already
jeśli,if
dla,for
wiem,I know
dla,for
coś,something
dobre,good
więc,so
od,from
teraz,now
pan,Mr
wszystko,all
być,to be
będzie,will be
masz,you have
nic,Thread
tam,over there
mogę,I can
proszę,please
jej,her
są,are
gdzie,where
kiedy,when
ten,this
on,he
ciebie,you
być,to be
ze,with
był,was
wiesz,you know
barzo,barely
było,was
przez,by
jego,his
ją,I
chcę,want
dlaczego,why
pani,you
jeszcze,still
mój,my
nas,us
żeby,in order to
no,yeah
bo,because
chcesz,you want
ich,their
też,also
tutaj,here
naprawdę,really
nigdy,never
mamy,we have
kto,who
możesz,you can
dobra,Okay
przepraszam,sorry
mu,him
gdy,when
muszę,I have to
porządku,order
dziękuję,thank you
nawet,even
chyba,I guess
domu,house
ona,she
prawda,true